unique_id,feature_name,honorees,city,county,state,stabr,statename,lea_name,sch_name
1921,Robert E. Lee School,Robert E. Lee,Little Rock,Pulaski,AR,AR,Arkansas,SPRINGDALE SCHOOL DISTRICT,SPRINGDALE SCHOOL DISTRICT
3125,Reagan Academic Magnet School,John Henninger Reagan,Odessa,Ector,TX,TX,TEXAS,ECTOR COUNTY ISD,EL MAGNET AT REAGAN EL
3127,Stonewall Elementary,"Thomas Jonathan ""Stonewall"" Jackson",Fredericksburg,Gillespie,TX,TX,TEXAS,FREDERICKSBURG ISD,STONEWALL EL
1232,Lee Elementary School,Robert E. Lee,Abilene,Taylor,TX,TX,TEXAS,ABILENE ISD,LEE EL
1233,Johnston Elementary School,Joseph Eggleston Johnston,Abilene,Taylor,TX,TX,TEXAS,ABILENE ISD,JOHNSTON EL
1234,Jackson Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Abilene,Taylor,TX,TX,TEXAS,ABILENE ISD,JACKSON EL
1968,B. F. Terry High School,Benjamin Franklin Terry,Rosenberg,Fort Bend,TX,TX,TEXAS,LAMAR CISD,B F TERRY H S
3174,Deshler High School,James Deshler,Tuscumbia,Colbert,AL,AL,ALABAMA,Tuscumbia City,Deshler High Sch
1486,Robert E. Lee Elementary School,Robert E. Lee,Spotsylvania,Spotsylvania,VA,VA,VIRGINIA,SPOTSYLVANIA CO PBLC SCHS,LEE HILL ELEM
1489,Stuart Elementary School,"James Ewell Brown ""Jeb"" Stuart",Stuart,Patrick,VA,VA,VIRGINIA,PATRICK CO PBLC SCHS,STUART ELEM
1490,Lee Elementary School,Robert E. Lee,East Wenatchee,Douglas,WA,WA,WASHINGTON,Eastmont School District,Robert E Lee Elementary
1238,Robert E. Lee High School,Robert E. Lee,Baytown,Harris,TX,TX,TEXAS,GOOSE CREEK CISD,LEE H S
1239,John H. Reagan Elementary School,John Henninger Reagan,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,JOHN H REAGAN EL
1244,Robert E. Lee Elementary School,Robert E. Lee,Eagle Pass,Maverick,TX,TX,TEXAS,EAGLE PASS ISD,ROBERT E LEE ELEMENTARY
1245,Robert E. Lee Elementary School,Robert E. Lee,Edinburg,Hidalgo,TX,TX,TEXAS,EDINBURG CISD,LEE EL
408,Joseph E. Brown Middle School,Joseph E. Brown,Atlanta,Fulton,GA,GA,GEORGIA,Atlanta Public Schools,Brown Middle School
409,Jeff Davis High School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,GA,GEORGIA,Jeff Davis County,Jeff Davis High School
410,Jeff Davis Primary School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,GA,GEORGIA,Jeff Davis County,Jeff Davis Primary School
411,Jeff Davis Elementary School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,GA,GEORGIA,Jeff Davis County,Jeff Davis Elementary School
412,Jeff Davis Middle School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,GA,GEORGIA,Jeff Davis County,Jeff Davis Middle School
1470,Washington-Lee Elementary School,Robert E. Lee,Bristol,Bristol City,VA,VA,VIRGINIA,BRISTOL CITY PBLC SCHS,WASHINGTON LEE ELEM
1471,Stonewall Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Clear Brook,Frederick,VA,VA,VIRGINIA,FREDERICK CO PBLC SCHS,STONEWALL ELEM
1473,Lee Hill Elementary School,Robert E. Lee,Fredericksburg,Fredericksburg City,VA,VA,VIRGINIA,SPOTSYLVANIA CO PBLC SCHS,LEE HILL ELEM
1265,Stonewall Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Stonewall,Gillespie,TX,TX,TEXAS,FREDERICKSBURG ISD,STONEWALL EL
1266,Hubbard Middle School,Richard B. Hubbard,Tyler,Smith,TX,TX,TEXAS,TYLER ISD,HUBBARD MIDDLE
1469,Stonewall Jackson Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Bristol,Bristol City,VA,VA,VIRGINIA,BRISTOL CITY PBLC SCHS,STONEWALL JACKSON ELEM
161,Forrest City Junior High School,Nathan Bedford Forrest,Forrest City,St. Francis,AR,AR,ARKANSAS,FORREST CITY SCHOOL DISTRICT,FORREST CITY JR. HIGH
162,Forrest City High School,Nathan Bedford Forrest,Forrest City,St. Francis,AR,AR,ARKANSAS,FORREST CITY SCHOOL DISTRICT,FORREST CITY HIGH SCHOOL
163,Forrest Park Prep Preschool,Nathan Bedford Forrest,Pine Bluff,Jefferson,AR,AR,ARKANSAS,PINE BLUFF SCHOOL DISTRICT,FORREST PARK PREP PRESCHOOL
164,Robert E. Lee Elementary School,Robert E. Lee,Springdale,Washington,AR,AR,ARKANSAS,SPRINGDALE SCHOOL DISTRICT,ROBERT E. LEE ELEM. SCHOOL
5098,Albert Pike Elementary School,Albert Pike,Fort Smith,Sebastian,AR,AR,ARKANSAS,FORT SMITH SCHOOL DISTRICT,ALBERT PIKE ELEMENTARY SCHOOL
104,Beauregard Elementary School,Pierre Gustave Toutant-Beauregard,Opelika,Lee,AL,AL,ALABAMA,Lee County,Beauregard Elem Sch
106,Robert E. Lee Primary Elementary School,Robert E. Lee,Satsuma,Mobile,AL,AL,ALABAMA,Satsuma City,Robert E. Lee Elementary
1087,Forrest High School,Nathan Bedford Forrest,Chapel Hill,Marshall,TN,TN,TENNESSEE,Marshall County,Forrest School
